70	1	Herb
78	2	Potion
80	3	Mega Potion
88	4	Lifesoot
90	5	Lifepowder
98	6	Dust of Life
A0	7	Max Potion
A8	16	Vital Essence
B0	9	Immunizer
B8	8	Ancient Potion
C0	A	Antidote herb
C8	B	Antidote
D0	C	Aloe Leaf
D8	D	Burn Ointment
E0	E	Anesfreesia
E8	F	Anti-para Potion
F0	10	Hot Pepper
F8	11	Energy Drink
100	12	Girthy Garlic
108	13	Zest Pill
110	14	Soapgrass
118	15	Blast-Be-Gone
120	18	Manyberry
128	19	Eye Drops
130	1A	Nullberry ElixIr
138	AE	Burnt Meat
140	AF	Rare Steak
148	B0	Well-done Steak
150	B1	Muscle Meat
158	B2	Toughness Meat
160	B3	Quickness Meat
168	B4	Gourmet Steak
170	1D	Hunter Donut
178	1F	Royal Donut
180	20	Val Habar Donut
188	21	Drome Donut
190	24	Guild Donut
198	25	Sugarpaw Donut
1A0	26	Chocopaw Donut
1A8	27	Well-done Donut
1B0	59F	@ Pudding
1B8	1B	Cool Mist
1C0	1C	Hot Mist
1C8	C6	Raw Meat Sushi
1D0	C7	Dragon Noodles
1D8	C8	Extra-fresh Sushi
1E0	C9	Shroom and Larva
1E8	CA	Tonguemato Salad
1F0	CB	Rock Salt Tuna
1F8	CC	Spicy Meatballs
200	CD	Stone-roasted Fish
208	CE	Frozen Mushroom
210	CF	Queenly Paella
218	D0	Kingly Steak
220	D1	Ancient Panacea
228	9F	Vitality Nutrient
230	A0	Strength Nutrient
238	A1	Defense Nutrient
240	A5	Reverse Nutrient
248	28	Might Seed
250	2A	Adamant Seed
258	2C	Quickfoot Seed
260	29	Demondrug
268	2B	Armorskin
270	2D	Fleetfoot Potion
278	2E	Whetstone
280	2F	Super Whetstone
288	4F	Surrogate Gem
290	50	Moxie Gem
298	76	Flash Bomb
2A0	77	Sonic Bomb
2A8	81	Stone
2B0	7B	Throwing Knife
2B8	78	Poison Knife
2C0	79	Paralysis Knife
2C8	7A	Sleep Knife
2D0	8C	Paintball
2D8	8D	Smoke Bomb
2E0	8E	Binoculars
2E8	1FE	Trap Tool
2F0	8F	Pitfall Trap
